시작일,종료일,직업,직업코드,분류단계,AI 사용 비율(%)
2026-05-01,2026-06-01,Accountants and Auditors,13-2011.00,0,0.12
2026-05-01,2026-06-01,Environmental Economists,19-3011.01,0,0.12
2026-05-01,2026-06-01,Sales Managers,11-2022.00,0,0.12
2026-05-01,2026-06-01,Spa Managers,11-9179.02,0,0.11
2026-04-01,2026-05-01,Accountants and Auditors,13-2011.00,0,0.11
2026-05-01,2026-06-01,Nurse Practitioners,29-1171.00,0,0.11
2026-04-01,2026-05-01,"Meeting, Convention, and Event Planners",13-1121.00,0,0.11
2026-05-01,2026-06-01,Producers and Directors,27-2012.00,0,0.11
2026-05-01,2026-06-01,Archivists,25-4011.00,0,0.11
2026-04-01,2026-05-01,Spa Managers,11-9179.02,0,0.11
2026-04-01,2026-05-01,Producers and Directors,27-2012.00,0,0.11
